,Product Title,Original Price,sale Price,Saving,Product Url
41,Maroon Lawn Tunic - ALP-LK-1012,13450.00,10087.50,3362.50,https://www.almirah.com.pk/collections/tunic-kurti/products/blue-raw-silk-tunic-lk-706
42,Maroon Lawn Tunic - ALP-LK-1012,13950.00,10462.50,3487.50,https://www.almirah.com.pk/collections/tunic-kurti/products/yellow-raw-silk-tunic-lk-705
43,Maroon Lawn Tunic - ALP-LK-1012,12450.00,9337.50,3112.50,https://www.almirah.com.pk/collections/tunic-kurti/products/pink-raw-silk-tunic-lk-703
44,Maroon Lawn Tunic - ALP-LK-1012,4450.00,3337.50,1112.50,https://www.almirah.com.pk/collections/tunic-kurti/products/grey-bunnat-tunic-lk-701
45,Maroon Lawn Tunic - ALP-LK-1012,3650.00,2737.50,912.50,https://www.almirah.com.pk/collections/tunic-kurti/products/white-lawn-tunic-lk-700
46,Maroon Lawn Tunic - ALP-LK-1012,5000.00,3750.00,1250.00,https://www.almirah.com.pk/collections/tunic-kurti/products/blue-cotton-net-tunic-alp-grk-1007
47,Maroon Lawn Tunic - ALP-LK-1012,4900.00,3675.00,1225.00,https://www.almirah.com.pk/collections/tunic-kurti/products/sky-blue-net-tunic-alp-grk-1005
48,Maroon Lawn Tunic - ALP-LK-1012,4050.00,3037.50,1012.50,https://www.almirah.com.pk/collections/tunic-kurti/products/blue-cotton-net-tunic-alp-grk-1003
49,Maroon Lawn Tunic - ALP-LK-1012,5200.00,3900.00,1300.00,https://www.almirah.com.pk/collections/tunic-kurti/products/yellow-cotton-net-tunic-alp-grk-1002
50,Maroon Lawn Tunic - ALP-LK-1012,3650.00,2737.50,912.50,https://www.almirah.com.pk/collections/tunic-kurti/products/ice-blue-cotton-net-tunic-alp-grk-1001
51,Maroon Lawn Tunic - ALP-LK-1012,5200.00,3900.00,1300.00,https://www.almirah.com.pk/collections/tunic-kurti/products/pink-tunic-lk-681
