,Product Title,Original Price,sale Price,Saving,Product Url
40,Black Raw Silk Tunic - LK-707,14950.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/black-raw-silk-tunic-lk-707
41,Blue Raw Silk Tunic - LK-706,13450.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/blue-raw-silk-tunic-lk-706
42,Yellow Raw Silk Tunic - LK-705,13950.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/yellow-raw-silk-tunic-lk-705
43,Pink Raw Silk Tunic - LK-703,12450.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/pink-raw-silk-tunic-lk-703
44,Grey Bunnat Tunic - LK-701,4450.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/grey-bunnat-tunic-lk-701
45,White Lawn Tunic - LK-700,3650.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/white-lawn-tunic-lk-700
46,Blue Cotton Net Tunic - ALP-GRK-1007,5000.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/blue-cotton-net-tunic-alp-grk-1007
47,Sky Blue Net Tunic - ALP-GRK-1005,4900.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/sky-blue-net-tunic-alp-grk-1005
48,Blue Cotton Net Tunic - ALP-GRK-1003,4050.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/blue-cotton-net-tunic-alp-grk-1003
49,Yellow Cotton Net Tunic - ALP-GRK-1002,5200.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/yellow-cotton-net-tunic-alp-grk-1002
50,Ice Blue Cotton Net Tunic - ALP-GRK-1001,3650.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/ice-blue-cotton-net-tunic-alp-grk-1001
51,Pink Cotton Silk Tunic - LK-681,5200.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/pink-tunic-lk-681
52,Turquoise Lawn Tunic - ALP-LK-663,3100.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/turquoise-lawn-tunic-lk-663
53,Black Lawn Tunic - LK-662,2800.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/black-lawn-tunic-lk-662
54,Orange Jacquard Tunic - LK-661,3100.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/orange-jacquard-tunic-lk-661
55,Lime Karandi Tunic - LK-211,4050.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/lime-karandi-tunic-lk-211
56,Denim Blue Denim Tunic - LK-222,4150.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/denim-blue-denim-tunic-lk-222
57,Black Linen Tunic - LK-213,3650.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/black-linen-tunic-lk-213
58,Blue Tunic - LK-212,3400.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/blue-tunic-lk-212
59,Brown Silk Tunic - LK-209,3650.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/brown-silk-tunic-lk-209
60,Black Khaddar Tunic - LK-206,3100.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/black-khaddar-tunic-lk-206
61,Blue Silk Tunic - LK-208,3650.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/blue-silk-tunic-lk-208
62,Beige Tunic - LK-609,2500.00,4012.50,1337.50,https://www.almirah.com.pk/collections/tunic-kurti/products/beige-tunic-lk-609
